epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.212975412607193	0.04444064572453499	0.21990412597107956	0.20223714411258698	0.08729829639196396	0.21493047871846524
20.0	0.21118570864200592	0.047532547265291214	0.21088145944822909	0.19217002391815186	0.08592042326927185	0.20384856986579986
30.0	0.20894856750965118	0.04939430579543114	0.21946322294485712	0.193064883351326	0.08567018806934357	0.2108565201548943
40.0	0.20536914467811584	0.04544321447610855	0.2102503513356603	0.18612974882125854	0.08281747251749039	0.2011393146509323
50.0	0.20357944071292877	0.042532045394182205	0.21283813506822505	0.19127516448497772	0.0820285901427269	0.20531881364467383
60.0	0.1991051584482193	0.041384242475032806	0.2087706119610381	0.1852349042892456	0.07980391383171082	0.20103137250226755
70.0	0.21118570864200592	0.04582997038960457	0.21579843605184676	0.19395974278450012	0.08516133576631546	0.20697826612070083
80.0	0.20626400411128998	0.043333396315574646	0.20892525423703653	0.18635347485542297	0.07805678248405457	0.19803911515866088
90.0	0.20536912977695465	0.04498209059238434	0.2079686633414815	0.19328859448432922	0.08346813917160034	0.2042685597852071
100.0	0.20626400411128998	0.045263029634952545	0.21085496370151313	0.19217002391815186	0.08363762497901917	0.2044102033661548
110.0	0.20447427034378052	0.04581170156598091	0.21525552939296497	0.1865772008895874	0.08216334134340286	0.20513554985261806
120.0	0.2116331160068512	0.045861631631851196	0.21594150799083767	0.18836690485477448	0.0788959190249443	0.2026649496927762
130.0	0.20223715901374817	0.04379139840602875	0.21010837878947525	0.18903803825378418	0.078920878469944	0.20287426017306598
