3036997,"顾长卫,中国电影"
1309055,
1300300,死神来了
1457217,
1293530,"美国,史诗"
1307106,"无间道,香港电影"
1295242,"美国,喜剧"
1782004,
3268216,
1307023,香港
1308776,
4739952,
2138507,
1307014,
1883755,
1291868,"杜拉斯,爱情,情色"
1302090,
1308848,
1292208,"巴西电影,贫穷"
1419969,"陈凯歌,中国电影"
3190880,美剧
3319755,
1905462,佳片
1292272,"青春,美国"
1309052,美国
2082013,
1297192,
1293964,
1302467,"科幻,美国"
1431718,动画
1292329,台湾
2153527,电视剧
1291558,安东尼奥尼
1293818,
2051007,
3148027,
1998799,"动画,日本"
1920796,
4226741,
1300618,
1870436,
1417598,
1468155,"彭浩翔,香港电影"
1304970,宫崎骏
3442220,
1296778,
1301948,
1292229,
1291584,tarantino
1293323,"张艺谋,中国"
1307694,"香港,刘伟强"
3103678,
1292728,
1949811,爱情
1308833,"韩国,金基德,爱情,情色"
4822848,
2277018,
1292484,"动作,美国"
3011091,
1293013,"科幻,美国,灾难"
2326676,
3920977,
1431699,
3335371,"动画,中国"
1309163,
4896263,
1308722,"张艺谋,武侠,动作"
1308570,"美国,动作"
1296078,
2138382,
2223596,
3287562,佳片
1296436,
1308751,"美国,史诗"
1305279,"韩国,喜剧,情色,爱情,搞笑"
3011308,
1300498,
1939414,
1966464,
1291877,基耶斯洛夫斯基
1308804,
1301890,"JohnnyDepp,JulietteBinoche"
1428578,没头脑和不高兴
1291869,"美国,情色,悬疑"
1291851,"贾樟柯,文艺"
1294927,
1578507,动作
1418189,美国
1860377,
1297018,"喜剧,美国"
1919245,
2346881,
1291844,"科幻,美国,动作"
1296753,"电影经典,黑泽明"
1851906,
1817169,
1301509,
3734350,
1295409,
2028645,
1298898,
1316572,
1292048,"三色,法国"
1291856,浪漫
2054933,
2153526,
1309059,
4009651,
1768351,
1292222,"剧情,写实"
1293135,
1300616,"彭浩翔,黑色幽默"
1304102,佳片
1300069,
1297291,"香港电影,爱情"
3928370,
1466007,"惊悚,寂静岭,恐怖"
1306951,
1300656,"美国,动作"
1872133,中国
1937946,佳片
1293377,"芳芳,SophieMarceau"
2300586,
1293172,"贝托鲁奇,历史,传记"
3279080,
1297574,
2354729,
1291818,"李安,家庭,饮食,台湾"
1441602,
3732780,
2209368,
3344570,
2969282,
2078864,
1793912,
1292225,"库布里克,恐怖,美国"
1291879,"电影经典,黑泽明"
1297131,
1292056,
1307315,
1304854,
3126196,"喜剧,中国"
1306505,张艺谋
1807959,
1291582,动画
1298586,"美国,魔幻"
1303037,搞笑
1294007,"张艺谋,爱情,中国电影"
1369747,
1292055,"变迁,德国,家庭"
1433577,
1421809,
1418190,
1305487,佳片
1915403,
1853176,"史诗,美国"
1293691,
1294766,
1293555,
1303815,
1498831,
1293167,
1299603,"tarantino,暴力"
1792928,
1292973,"美国,动画"
3670447,
1781126,犯罪
1465037,
1819388,
1470600,动画
1949812,
1428577,
4133988,尔冬升
1441238,"爱情,面纱,美国"
1951318,
1756073,
1304641,
3338821,
2028666,美国电影
3813779,吴宇森
1291554,"音乐剧,美国,爱情"
3777800,
1294990,
1294417,
3073124,
2085721,
1297102,
1759386,
1607471,
3003137,
1439890,
1866264,"英国,传记"
1301578,"Soderbergh,酷电影"
1308753,
2257732,
1829654,
1310174,"女性,台湾电影,张艾嘉,李心洁,爱情,刘若英"
1431947,
1296909,"法国,喜剧"
1950525,
1438760,日剧
1962116,
3754946,甄子丹
1937502,
1298744,"黑色,科幻"
