epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.11812081187963486	0.022281929850578308	0.12124809211012613	0.10581657290458679	0.04143012315034866	0.11327048833046559
20.0	0.21073828637599945	0.04512780159711838	0.21335458613645	0.1892617642879486	0.07938849925994873	0.20123462101752876
30.0	0.24653246998786926	0.05516764894127846	0.2566095082634713	0.21789710223674774	0.09576787799596786	0.2389450480056995
40.0	0.2805369198322296	0.06142590939998627	0.29175871990238317	0.24093958735466003	0.10645493119955063	0.2662298207376517
50.0	0.2805369198322296	0.06074840947985649	0.29684062057390115	0.25078296661376953	0.1107693687081337	0.2773094814486735
60.0	0.2890380620956421	0.06294533610343933	0.3005277889580646	0.2552572786808014	0.11157666146755219	0.2791798729273656
70.0	0.2872483432292938	0.062187306582927704	0.3006977476829306	0.2539149820804596	0.1120549887418747	0.2797011684962075
80.0	0.27829980850219727	0.06099184602499008	0.2938317936657249	0.25167784094810486	0.11069081723690033	0.27718651786272885
90.0	0.2832214832305908	0.06186702474951744	0.2958033311316546	0.2525727152824402	0.11043531447649002	0.2768938428404385
100.0	0.2823266386985779	0.060463618487119675	0.2920751142630593	0.25100669264793396	0.10803597420454025	0.2733216920401017
110.0	0.2791946232318878	0.06012366712093353	0.2901413317235979	0.24988813698291779	0.1053096354007721	0.2720738619837206
120.0	0.27874723076820374	0.060125987976789474	0.28797708179987125	0.24429529905319214	0.10297726839780807	0.266617623533695
130.0	0.2680089771747589	0.05770781263709068	0.2780737273225986	0.24183444678783417	0.1029159352183342	0.2627451604429028
140.0	0.26487699151039124	0.058791931718587875	0.27466617875200505	0.24362415075302124	0.10298563539981842	0.2627772447113969
150.0	0.26040270924568176	0.05713868513703346	0.270009415177502	0.24026845395565033	0.10258321464061737	0.2590195307632459
160.0	0.26040270924568176	0.05721215158700943	0.2695725673713574	0.23579418659210205	0.10083456337451935	0.25553492952880996
