epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.2156599760055542	0.04487615078687668	0.22169987020399695	0.20000001788139343	0.08643312007188797	0.21382904661350363
20.0	0.21118570864200592	0.04733891785144806	0.21086305184051668	0.19082774221897125	0.08385972678661346	0.20264455543984355
30.0	0.20850113034248352	0.046586498618125916	0.2168835273512959	0.19172260165214539	0.08562847226858139	0.2086485316915452
40.0	0.20715884864330292	0.04601309075951576	0.21224750284822871	0.18344518542289734	0.08124940097332001	0.19996975203353792
50.0	0.20492170751094818	0.042582910507917404	0.21164114784659568	0.18993288278579712	0.08069368451833725	0.2037723633178742
60.0	0.1991051584482193	0.0431651696562767	0.21117766648290995	0.1859060525894165	0.08096113055944443	0.20309246617709878
70.0	0.19821029901504517	0.04233511909842491	0.20382132492445823	0.19015659391880035	0.08216731250286102	0.20109814584789226
80.0	0.20223715901374817	0.04330913722515106	0.20074665669507002	0.18277403712272644	0.07712104916572571	0.1922234692289064
90.0	0.20402686297893524	0.04433048516511917	0.20467161791586924	0.19261746108531952	0.08280821144580841	0.2012354552884273
100.0	0.19865772128105164	0.04356345161795616	0.20641406146509214	0.19060401618480682	0.08302201330661774	0.2032729454690594
110.0	0.20536912977695465	0.04609698802232742	0.2107493751755347	0.1872483491897583	0.081588514149189	0.2017119032789492
120.0	0.20134228467941284	0.04597463831305504	0.2054599347113723	0.18702462315559387	0.07946424186229706	0.19896276367560115
