epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.0912751778960228	0.01628405973315239	0.10232569521690738	0.0767337903380394	0.028505953028798103	0.0890521222714754
20.0	0.06442953646183014	0.01314764004200697	0.06740720727427052	0.05458613485097885	0.02192140556871891	0.06066227528949354
30.0	0.03758389130234718	0.00747563224285841	0.03790048804289699	0.038926176726818085	0.015267540700733662	0.03935586702742539
40.0	0.03445190191268921	0.0068794237449765205	0.035777558117057705	0.04272930324077606	0.015586945228278637	0.04126924027299553
50.0	0.038478750735521317	0.007992695085704327	0.03856044224533113	0.041163310408592224	0.015735799446702003	0.040780459448327436
60.0	0.035346757620573044	0.007443645503371954	0.03628774348191824	0.044742729514837265	0.017528723925352097	0.04286851669490483
70.0	0.036689043045043945	0.007016305811703205	0.037958002173698546	0.04250559210777283	0.01669420674443245	0.042005290944047875
80.0	0.03803132101893425	0.007304021622985601	0.037654257720935905	0.04205816984176636	0.016000064089894295	0.041019883940872436
90.0	0.038926176726818085	0.007452359423041344	0.039715600440988756	0.04384787380695343	0.015962041914463043	0.04314958451915935
100.0	0.038926176726818085	0.00742077874019742	0.03978578532612253	0.044742729514837265	0.016585690900683403	0.04396271655216635
110.0	0.03982102870941162	0.007535355165600777	0.04020739853229615	0.044742729514837265	0.016908852383494377	0.04413065202865274
