epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.18344518542289734	0.03727445751428604	0.18455865867388876	0.17606262862682343	0.07394622266292572	0.1822110936378996
20.0	0.2572707235813141	0.05709315836429596	0.2693752336789506	0.22304250299930573	0.09747767448425293	0.24772227190956855
30.0	0.28948545455932617	0.06457774341106415	0.29822144798696826	0.24988815188407898	0.10923746973276138	0.27429133907331077
40.0	0.28814321756362915	0.06288766860961914	0.3004784621578108	0.24899327754974365	0.10908342152833939	0.2751890069963962
50.0	0.28277406096458435	0.062388837337493896	0.29465786487543677	0.24630874395370483	0.10691240429878235	0.2711708134130599
60.0	0.2697986662387848	0.057979483157396317	0.2840762665769428	0.2440715879201889	0.10747301578521729	0.26756489032217495
70.0	0.2653244137763977	0.0571918860077858	0.27812820728100274	0.23310960829257965	0.10054127126932144	0.2572930752204104
80.0	0.2541387379169464	0.054176654666662216	0.267236167118904	0.23243847489356995	0.09981518983840942	0.2533651539855001
90.0	0.2545861303806305	0.055010683834552765	0.26932083309019084	0.23199103772640228	0.1006014347076416	0.25418382374472126
100.0	0.2487695813179016	0.05354582145810127	0.26260580061183214	0.22841162979602814	0.1008392944931984	0.24964711503187167
110.0	0.25771814584732056	0.05694384500384331	0.2721697100151691	0.22102908790111542	0.09712056815624237	0.24775535798108178
120.0	0.2514541447162628	0.056984271854162216	0.26429732824955143	0.22214765846729279	0.09665043652057648	0.24556452254630173
130.0	0.24787472188472748	0.05557127669453621	0.2606316799906233	0.22125281393527985	0.09584151953458786	0.2436426312824221
