epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.27293065190315247	0.05928982049226761	0.2804017267420148	0.24093958735466003	0.10539749264717102	0.26222419514162676
20.0	0.2724832594394684	0.05982973054051399	0.28369021515659826	0.24317672848701477	0.1054069772362709	0.2660133781047514
30.0	0.2657718062400818	0.05879504606127739	0.27526401689866853	0.22930648922920227	0.09992822259664536	0.25296664644615385
40.0	0.25503358244895935	0.056641556322574615	0.26496965520147064	0.2170022577047348	0.09475240856409073	0.24126785900711095
50.0	0.2545861303806305	0.056832171976566315	0.26184975511775094	0.21901565790176392	0.09690981358289719	0.24056635551222993
60.0	0.2501118779182434	0.05549132078886032	0.26093959568539626	0.2228187918663025	0.09948893636465073	0.24446483197879826
70.0	0.24832215905189514	0.05664787068963051	0.26014567573914354	0.21677853167057037	0.09544970840215683	0.24043318022029417
80.0	0.244742751121521	0.05628300458192825	0.2564102936121998	0.21476510167121887	0.09299048036336899	0.2377223942082731
90.0	0.2348993569612503	0.052099842578172684	0.24612237814654767	0.2136465311050415	0.09278956800699234	0.23300945087331942
100.0	0.23624162375926971	0.05330977216362953	0.2463899750692137	0.2109619826078415	0.09236963093280792	0.23110835791046233
110.0	0.2322147786617279	0.05219659581780434	0.24253629299364074	0.20492170751094818	0.09032269567251205	0.22612910357341517
120.0	0.22460852563381195	0.05091413855552673	0.2341268385650281	0.203803151845932	0.08957132697105408	0.2227061170788562
